CODIGO,FECHA,DIA_SEMANA,INGRESO,SALIDA,HORAS_LABORADAS
3484,2023-01-10,Tuesday,,,FALTA/NO CHECO
3484,2023-01-11,Wednesday,,,FALTA/NO CHECO
3484,2023-01-12,Thursday,,,FALTA/NO CHECO
3484,2023-01-13,Friday,,,FALTA/NO CHECO
3554,2023-01-09,Monday,,,FALTA/NO CHECO
3554,2023-01-10,Tuesday,,,FALTA/NO CHECO
3554,2023-01-11,Wednesday,,,FALTA/NO CHECO
3554,2023-01-12,Thursday,,,FALTA/NO CHECO
3554,2023-01-13,Friday,,,FALTA/NO CHECO
3569,2023-01-09,Monday,1900-01-01 09:47:00,,FALTA/NO CHECO
3569,2023-01-10,Tuesday,1900-01-01 08:55:00,,FALTA/NO CHECO
3569,2023-01-11,Wednesday,1900-01-01 10:32:00,,FALTA/NO CHECO
3569,2023-01-12,Thursday,1900-01-01 09:01:00,,FALTA/NO CHECO
3569,2023-01-13,Friday,1900-01-01 08:51:00,,FALTA/NO CHECO
3608,2023-01-10,Tuesday,1900-01-01 07:27:00,1900-01-01 17:59:00,10.533333333333333
3608,2023-01-11,Wednesday,1900-01-01 07:28:00,1900-01-01 17:57:00,10.483333333333333
3608,2023-01-12,Thursday,1900-01-01 07:27:00,1900-01-01 17:57:00,10.5
3608,2023-01-13,Friday,1900-01-01 07:28:00,1900-01-01 17:57:00,10.483333333333333
3627,2023-01-09,Monday,,,FALTA/NO CHECO
3627,2023-01-10,Tuesday,,,FALTA/NO CHECO
3627,2023-01-11,Wednesday,,,FALTA/NO CHECO
3627,2023-01-12,Thursday,,,FALTA/NO CHECO
3627,2023-01-13,Friday,,,FALTA/NO CHECO
3630,2023-01-09,Monday,,,FALTA/NO CHECO
3630,2023-01-10,Tuesday,,,FALTA/NO CHECO
3630,2023-01-11,Wednesday,,,FALTA/NO CHECO
3630,2023-01-12,Thursday,,,FALTA/NO CHECO
3630,2023-01-13,Friday,1900-01-01 11:14:00,,FALTA/NO CHECO
3735,2023-01-09,Monday,,,FALTA/NO CHECO
3735,2023-01-10,Tuesday,,,FALTA/NO CHECO
3735,2023-01-11,Wednesday,,,FALTA/NO CHECO
3735,2023-01-12,Thursday,,,FALTA/NO CHECO
3735,2023-01-13,Friday,,,FALTA/NO CHECO
3753,2023-01-09,Monday,1900-01-01 08:53:00,1900-01-01 17:38:00,8.75
3753,2023-01-10,Tuesday,,,FALTA/NO CHECO
3753,2023-01-11,Wednesday,1900-01-01 08:57:00,1900-01-01 17:41:00,8.733333333333333
3753,2023-01-12,Thursday,1900-01-01 08:49:00,1900-01-01 17:54:00,9.083333333333334
3753,2023-01-13,Friday,1900-01-01 08:50:00,1900-01-01 17:51:00,9.016666666666667
3792,2023-01-09,Monday,1900-01-01 08:45:00,1900-01-01 17:54:00,9.15
3792,2023-01-10,Tuesday,1900-01-01 08:35:00,1900-01-01 17:52:00,9.283333333333333
3792,2023-01-11,Wednesday,1900-01-01 08:27:00,1900-01-01 17:51:00,9.4
3792,2023-01-12,Thursday,1900-01-01 08:50:00,1900-01-01 17:53:00,9.05
3792,2023-01-13,Friday,1900-01-01 08:55:00,1900-01-01 17:51:00,8.933333333333334
3799,2023-01-09,Monday,,,FALTA/NO CHECO
3799,2023-01-10,Tuesday,,,FALTA/NO CHECO
3799,2023-01-11,Wednesday,,,FALTA/NO CHECO
3799,2023-01-12,Thursday,,,FALTA/NO CHECO
3799,2023-01-13,Friday,,,FALTA/NO CHECO
3850,2023-01-09,Monday,1900-01-01 09:03:00,1900-01-01 12:30:00,3.45
3850,2023-01-10,Tuesday,1900-01-01 08:42:00,1900-01-01 17:31:00,8.816666666666666
3850,2023-01-11,Wednesday,1900-01-01 08:40:00,1900-01-01 17:12:00,8.533333333333333
3850,2023-01-12,Thursday,1900-01-01 08:30:00,1900-01-01 17:02:00,8.533333333333333
3850,2023-01-13,Friday,1900-01-01 08:39:00,1900-01-01 15:03:00,6.4
3870,2023-01-09,Monday,1900-01-01 09:09:00,1900-01-01 17:38:00,8.483333333333333
3870,2023-01-10,Tuesday,1900-01-01 09:05:00,1900-01-01 17:48:00,8.716666666666667
3870,2023-01-11,Wednesday,1900-01-01 09:04:00,1900-01-01 17:49:00,8.75
3870,2023-01-12,Thursday,1900-01-01 09:09:00,1900-01-01 17:45:00,8.6
3870,2023-01-13,Friday,1900-01-01 09:02:00,,FALTA/NO CHECO
3872,2023-01-09,Monday,1900-01-01 08:54:00,,FALTA/NO CHECO
3872,2023-01-10,Tuesday,1900-01-01 09:24:00,,FALTA/NO CHECO
3872,2023-01-11,Wednesday,1900-01-01 08:54:00,,FALTA/NO CHECO
3872,2023-01-12,Thursday,1900-01-01 09:04:00,,FALTA/NO CHECO
3872,2023-01-13,Friday,1900-01-01 09:33:00,,FALTA/NO CHECO
3883,2023-01-09,Monday,1900-01-01 08:52:00,1900-01-01 17:47:00,8.916666666666666
3883,2023-01-10,Tuesday,1900-01-01 08:46:00,1900-01-01 17:49:00,9.05
3883,2023-01-11,Wednesday,,,FALTA/NO CHECO
3883,2023-01-12,Thursday,1900-01-01 08:49:00,1900-01-01 17:49:00,9.0
3883,2023-01-13,Friday,1900-01-01 08:44:00,1900-01-01 17:48:00,9.066666666666666
3892,2023-01-09,Monday,,,FALTA/NO CHECO
3892,2023-01-10,Tuesday,,,FALTA/NO CHECO
3892,2023-01-11,Wednesday,,,FALTA/NO CHECO
3892,2023-01-12,Thursday,,,FALTA/NO CHECO
3892,2023-01-13,Friday,,,FALTA/NO CHECO
3910,2023-01-09,Monday,,,FALTA/NO CHECO
3910,2023-01-10,Tuesday,,,FALTA/NO CHECO
3910,2023-01-11,Wednesday,,,FALTA/NO CHECO
3910,2023-01-12,Thursday,,,FALTA/NO CHECO
3910,2023-01-13,Friday,,,FALTA/NO CHECO
3914,2023-01-09,Monday,,,FALTA/NO CHECO
3914,2023-01-10,Tuesday,,,FALTA/NO CHECO
3914,2023-01-11,Wednesday,,,FALTA/NO CHECO
3914,2023-01-12,Thursday,,,FALTA/NO CHECO
3914,2023-01-13,Friday,,,FALTA/NO CHECO
3918,2023-01-09,Monday,,,FALTA/NO CHECO
3918,2023-01-10,Tuesday,,,FALTA/NO CHECO
3918,2023-01-11,Wednesday,1900-01-01 09:09:00,1900-01-01 17:12:00,8.05
3918,2023-01-12,Thursday,1900-01-01 09:24:00,1900-01-01 16:56:00,7.533333333333333
3918,2023-01-13,Friday,1900-01-01 08:47:00,1900-01-01 16:18:00,7.516666666666667
3919,2023-01-09,Monday,,,FALTA/NO CHECO
3919,2023-01-10,Tuesday,,,FALTA/NO CHECO
3919,2023-01-11,Wednesday,,,FALTA/NO CHECO
3919,2023-01-12,Thursday,,,FALTA/NO CHECO
3919,2023-01-13,Friday,,,FALTA/NO CHECO
3920,2023-01-09,Monday,,,FALTA/NO CHECO
3920,2023-01-10,Tuesday,,,FALTA/NO CHECO
3920,2023-01-11,Wednesday,,,FALTA/NO CHECO
3920,2023-01-12,Thursday,,,FALTA/NO CHECO
3920,2023-01-13,Friday,,,FALTA/NO CHECO
3925,2023-01-09,Monday,1900-01-01 09:46:00,,FALTA/NO CHECO
3925,2023-01-10,Tuesday,1900-01-01 09:09:00,,FALTA/NO CHECO
3925,2023-01-11,Wednesday,1900-01-01 09:11:00,,FALTA/NO CHECO
3925,2023-01-12,Thursday,1900-01-01 09:04:00,,FALTA/NO CHECO
3925,2023-01-13,Friday,1900-01-01 09:11:00,,FALTA/NO CHECO
3926,2023-01-09,Monday,1900-01-01 09:57:00,,FALTA/NO CHECO
3926,2023-01-10,Tuesday,,,FALTA/NO CHECO
3926,2023-01-11,Wednesday,,,FALTA/NO CHECO
3926,2023-01-12,Thursday,,,FALTA/NO CHECO
3926,2023-01-13,Friday,,,FALTA/NO CHECO
3930,2023-01-09,Monday,,,FALTA/NO CHECO
3930,2023-01-10,Tuesday,,,FALTA/NO CHECO
3930,2023-01-11,Wednesday,,,FALTA/NO CHECO
3930,2023-01-12,Thursday,,,FALTA/NO CHECO
3930,2023-01-13,Friday,,,FALTA/NO CHECO
3932,2023-01-09,Monday,,,FALTA/NO CHECO
3932,2023-01-10,Tuesday,,,FALTA/NO CHECO
3932,2023-01-11,Wednesday,,,FALTA/NO CHECO
